APT_ICAO;APT_NAME;LAT;LONG
EBCV;CHIEVRES AB;50,57600;3,831
EBFN;KOKSIJDE;51,09000;2,653
EBFS;FLORENNES;50,24400;4,649
EBGB;;0,00000;0
EBGL;;0,00000;0
EBHN;;0,00000;0
EBKH;;0,00000;0
EBKT;WEVELGEM;50,81800;3,208
EBLB;;0,00000;0
EBLG;LIEGE;50,63700;5,443
EBMB;;0,00000;0
EBMO;;0,00000;0
EBMT;;0,00000;0
EBNM;;0,00000;0
EBOS;OOSTENDE;51,19900;2,862
EBSH;;0,00000;0
EBSL;ZUTENDAAL;50,94800;5,592
EBSP;;0,00000;0
EBST;ST TRUIDEN;50,78800;5,193
EBSU;;0,00000;0
EBSZ;;0,00000;0
EBTN;;0,00000;0
EBTX;;0,00000;0
EBTY;;0,00000;0
EBUL;URSEL;51,14400;3,474
EBWE;WEELDE;51,39500;4,961
EBZH;;0,00000;0
EBZR;ZOERSEL;51,26600;4,755
EBZW;;0,00000;0
EDAB;BAUTZEN;51,19300;14,52
EDAC;ALTENBURG NOBITZ;50,98200;12,506
EDAD;DESSAU;51,83200;12,186
EDAE;EISENHUTTENSTADT;52,19700;14,586
EDAF;;0,00000;0
EDAG;;0,00000;0
EDAH;HERINGSDORF;53,87900;14,152
EDAJ;;0,00000;0
EDAK;GROSSENHAIN;51,30800;13,555
EDAL;;0,00000;0
EDAM;MERSEBURG;51,36300;11,941
EDAN;;0,00000;0
EDAO;;0,00000;0
EDAP;;0,00000;0
EDAQ;HALLE OPPIN;51,55200;12,053
EDAR;;0,00000;0
EDAT;;0,00000;0
EDAU;RIESA GOHLIS;51,29400;13,359
EDAW;;0,00000;0
EDAX;RECHLIN LARZ;53,30600;12,753
EDAY;STRAUSBERG;52,58000;13,916
EDAZ;SCHONHAGEN;52,20300;13,159
EDBA;;0,00000;0
EDBB;;0,00000;0
EDBC;COCHSTEDT SCHNEIDLINGEN;51,85600;11,418
EDBD;;0,00000;0
EDBF;;0,00000;0
EDBG;GOLDSBORO WAYNE MUNI;35,46100;-77,965
EDBH;BARTH;54,33800;12,71
EDBI;;0,00000;0
EDBJ;JENA SCHONGLEINA;50,91700;11,714
EDBK;KYRITZ;52,91900;12,425
EDBL;;0,00000;0
EDBM;MAGDEBURG;52,07400;11,626
EDBN;BRANDIS WALDPOLENZ;51,32800;12,657
EDBO;;0,00000;0
EDBP;;0,00000;0
EDBR;ROTHENBURG GORLITZ;51,36400;14,952
EDBS;;0,00000;0
EDBX;;0,00000;0
EDCA;ANKLAM;53,83300;13,669
EDCB;;0,00000;0
EDCD;COTTBUS DREWITZ;51,88900;14,532
EDCE;;0,00000;0
EDCF;;0,00000;0
EDCG;;0,00000;0
EDCI;;0,00000;0
EDCJ;;0,00000;0
EDCK;KOTHEN;51,72100;11,962
EDCM;KAMENZ;51,29600;14,129
EDCN;;0,00000;0
EDCQ;;0,00000;0
EDCR;;0,00000;0
EDCS;;0,00000;0
EDCU;;0,00000;0
EDCV;;0,00000;0
EDCW;;0,00000;0
EDCX;;0,00000;0
EDDB;SCHONEFELD;52,38000;13,523
EDDC;DRESDEN;51,13300;13,767
EDDD;;0,00000;0
EDDE;ERFURT;50,98000;10,958
EDDF;FRANKFURT MAIN;50,02600;8,543
EDDG;MUNSTER OSNABRUCK;52,13400;7,685
EDDH;HAMBURG;53,63000;9,988
EDDI;TEMPELHOF;52,47300;13,404
EDDK;KOLN BONN;50,86600;7,143
EDDL;DUSSELDORF;51,28900;6,767
EDDM;MUNICH;48,35400;11,786
EDDN;NURNBERG;49,49900;11,078
EDDP;LEIPZIG HALLE;51,42400;12,236
EDDR;SAARBRUCKEN;49,21400;7,109
EDDS;STUTTGART;48,69000;9,222
EDDT;TEGEL;52,55900;13,287
EDDV;HANNOVER;52,46100;9,685
EDDW;BREMEN;53,04700;8,787
EDDZ;;0,00000;0
EDEH;;0,00000;0
EDEL;;0,00000;0
EDEM;;0,00000;0
EDEN;;0,00000;0
EDEW;;0,00000;0
EDFA;;0,00000;0
EDFB;;0,00000;0
EDFC;;0,00000;0
EDFD;;0,00000;0
EDFE;EGELSBACH;49,96100;8,644
EDFF;;0,00000;0
EDFG;;0,00000;0
EDFH;FRANKFURT HAHN;49,95000;7,264
EDFI;;0,00000;0
EDFJ;;0,00000;0
EDFK;;0,00000;0
EDFL;;0,00000;0
EDFM;MANNHEIM CITY;49,47300;8,514
EDFN;;0,00000;0
EDFO;;0,00000;0
EDFP;;0,00000;0
EDFQ;ALLENDORF EDER;51,03500;8,679
EDFR;;0,00000;0
EDFS;;0,00000;0
EDFT;;0,00000;0
EDFU;;0,00000;0
EDFV;WORMS;49,60600;8,368
EDFW;;0,00000;0
EDFX;;0,00000;0
EDFY;;0,00000;0
EDFZ;MAINZ FINTHEN;49,96900;8,147
EDGA;;0,00000;0
EDGB;;0,00000;0
EDGE;EISENACH KINDEL;50,99300;10,473
EDGF;;0,00000;0
EDGH;;0,00000;0
EDGI;;0,00000;0
EDGJ;;0,00000;0
EDGK;;0,00000;0
EDGL;;0,00000;0
EDGM;;0,00000;0
EDGN;;0,00000;0
EDGO;;0,00000;0
EDGP;;0,00000;0
EDGQ;;0,00000;0
EDGR;;0,00000;0
EDGS;SIEGERLAND;50,70800;8,082
EDGT;;0,00000;0
EDGU;;0,00000;0
EDGW;;0,00000;0
EDGX;;0,00000;0
EDGZ;;0,00000;0
EDHB;;0,00000;0
EDHC;;0,00000;0
EDHE;;0,00000;0
EDHI;HAMBURG FINKENWERDER;53,53500;9,835
EDHJ;;0,00000;0
EDHK;KIEL HOLTENAU;54,37900;10,145
EDHL;LUBECK BLANKENSEE;53,80500;10,719
EDHM;;0,00000;0
